Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes
Army,Military Construction,1959,Current,236e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1959,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1959,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1959,Current,41e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1960,Constant,55129e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1960,Constant,32132e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1960,Constant,9395e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1960,Constant,8138e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1960,Constant,2254e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1960,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1960,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1960,Constant,391e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1960,Current,3667e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1960,Current,3235e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1960,Current,1379e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1960,Current,1102e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1960,Current,307e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1960,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1960,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1960,Current,59e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1961,Constant,55077e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1961,Constant,31932e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1961,Constant,10079e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1961,Constant,8425e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1961,Constant,1354e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1961,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1961,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1961,Constant,91e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1961,Current,3705e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1961,Current,3384e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1961,Current,1495e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1961,Current,1147e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1961,Current,182e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1961,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1961,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1961,Current,14e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1962,Constant,61957e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1962,Constant,34601e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1962,Constant,17006e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1962,Constant,9626e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1962,Constant,1228e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1962,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1962,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1962,Constant,138e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1962,Current,4121e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1962,Current,3774e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1962,Current,2532e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1962,Current,1337e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1962,Current,165e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1962,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1962,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1962,Current,21e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1963,Constant,59875e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1963,Constant,32171e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1963,Constant,16863e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1963,Constant,9497e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1963,Constant,1232e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1963,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1963,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1963,Constant,-151e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1963,Current,4079e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1963,Current,3538e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1963,Current,2519e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1963,Current,1329e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1963,Current,166e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1963,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1963,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1963,Current,-23e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1964,Constant,6007e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1964,Constant,31208e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1964,Constant,1924e7,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1964,Constant,985e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1964,Constant,1514e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1964,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1964,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1964,Constant,-254e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1964,Current,446e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1964,Current,3534e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1964,Current,2906e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1964,Current,1402e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1964,Current,211e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1964,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1964,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1964,Current,-39e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1965,Constant,60525e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1965,Constant,31244e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1965,Constant,11727e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1965,Constant,9579e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1965,Constant,2387e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1965,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1965,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1965,Constant,-31e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1965,Current,4719e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1965,Current,3738e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1965,Current,1783e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1965,Current,1402e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1965,Current,361e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1965,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1965,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1965,Current,-48e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1966,Constant,65825e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1966,Constant,39149e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1966,Constant,27227e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1966,Constant,9696e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1966,Constant,5951e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1966,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1966,Constant,148e7,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1966,Constant,-624e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1966,Current,5685e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1966,Current,5054e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1966,Current,4312e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1966,Current,1464e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1966,Current,978e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1966,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1966,Current,237e6,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1966,Current,-1e8,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1967,Constant,80714e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1967,Constant,53493e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1967,Constant,34224e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1967,Constant,10214e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1967,Constant,2439e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1967,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
