Public Law Title,FY,Amount,Deflator.Type,Source
Procurement,1966,20013e6,Current,Table 6.8 DOD BA By Title
RDT&E,1966,6746e6,Current,Table 6.8 DOD BA By Title
Military Construction,1966,2566e6,Current,Table 6.8 DOD BA By Title
Family Housing,1966,666e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1966,1383e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1966,-231e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1967,18377e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1967,1839e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1967,19441e6,Current,Table 6.8 DOD BA By Title
Procurement,1967,22871e6,Current,Table 6.8 DOD BA By Title
RDT&E,1967,7172e6,Current,Table 6.8 DOD BA By Title
Military Construction,1967,1098e6,Current,Table 6.8 DOD BA By Title
Family Housing,1967,507e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1967,1014e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1967,-143e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1968,20023e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1968,2095e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1968,20961e6,Current,Table 6.8 DOD BA By Title
Procurement,1968,23408e6,Current,Table 6.8 DOD BA By Title
RDT&E,1968,7285e6,Current,Table 6.8 DOD BA By Title
Military Construction,1968,1543e6,Current,Table 6.8 DOD BA By Title
Family Housing,1968,612e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1968,516e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1968,-157e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1969,21427e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1969,245e7,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1969,22349e6,Current,Table 6.8 DOD BA By Title
Procurement,1969,20543e6,Current,Table 6.8 DOD BA By Title
RDT&E,1969,7629e6,Current,Table 6.8 DOD BA By Title
Military Construction,1969,1168e6,Current,Table 6.8 DOD BA By Title
Family Housing,1969,512e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1969,961e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1969,-133e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1970,22995e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1970,2858e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1970,21529e6,Current,Table 6.8 DOD BA By Title
Procurement,1970,17867e6,Current,Table 6.8 DOD BA By Title
RDT&E,1970,7406e6,Current,Table 6.8 DOD BA By Title
Military Construction,1970,96e7,Current,Table 6.8 DOD BA By Title
Family Housing,1970,604e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1970,5e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1970,-14e7,Current,Table 6.8 DOD BA By Title
Military Personnel,1971,22643e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1971,3391e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1971,20437e6,Current,Table 6.8 DOD BA By Title
Procurement,1971,15702e6,Current,Table 6.8 DOD BA By Title
RDT&E,1971,7066e6,Current,Table 6.8 DOD BA By Title
Military Construction,1971,1322e6,Current,Table 6.8 DOD BA By Title
Family Housing,1971,717e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1971,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1971,-119e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1972,22964e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1972,3901e6,Current,Table 6.8 DOD BA By Title
