FY,Service,Active.or.Civilians,Personnel
1974,Full Time Guard and Reserve,Active,1e3
1975,Full Time Guard and Reserve,Active,1e3
1976,Full Time Guard and Reserve,Active,1e3
1977,Full Time Guard and Reserve,Active,1e3
1978,Full Time Guard and Reserve,Active,1e3
1979,Full Time Guard and Reserve,Active,7e3
1980,Full Time Guard and Reserve,Active,13e3
1981,Full Time Guard and Reserve,Active,19e3
1982,Full Time Guard and Reserve,Active,22e3
1983,Full Time Guard and Reserve,Active,39e3
1984,Full Time Guard and Reserve,Active,46e3
1985,Full Time Guard and Reserve,Active,55e3
1986,Full Time Guard and Reserve,Active,64e3
1987,Full Time Guard and Reserve,Active,69e3
1988,Full Time Guard and Reserve,Active,71e3
1989,Full Time Guard and Reserve,Active,72e3
1990,Full Time Guard and Reserve,Active,74e3
1991,Full Time Guard and Reserve,Active,75e3
1992,Full Time Guard and Reserve,Active,72e3
1993,Full Time Guard and Reserve,Active,71e3
1994,Full Time Guard and Reserve,Active,68e3
1995,Full Time Guard and Reserve,Active,65e3
1996,Full Time Guard and Reserve,Active,66e3
1997,Full Time Guard and Reserve,Active,64e3
1998,Full Time Guard and Reserve,Active,64e3
1999,Full Time Guard and Reserve,Active,65e3
2000,Full Time Guard and Reserve,Active,65e3
2001,Full Time Guard and Reserve,Active,65e3
2002,Full Time Guard and Reserve,Active,66e3
2003,Full Time Guard and Reserve,Active,66e3
2004,Full Time Guard and Reserve,Active,66e3
2005,Full Time Guard and Reserve,Active,69e3
2006,Full Time Guard and Reserve,Active,71e3
2007,Full Time Guard and Reserve,Active,72e3
2008,Full Time Guard and Reserve,Active,72e3
2009,Full Time Guard and Reserve,Active,75e3
2010,Full Time Guard and Reserve,Active,76e3
2011,Full Time Guard and Reserve,Active,76e3
2012,Full Time Guard and Reserve,Active,77e3
2013,Full Time Guard and Reserve,Active,77e3
2014,Full Time Guard and Reserve,Active,77e3
2015,Full Time Guard and Reserve,Active,76e3
2016,Full Time Guard and Reserve,Active,76e3
2017,Full Time Guard and Reserve,Active,75e3
2018,Full Time Guard and Reserve,Active,79e3
2019,Full Time Guard and Reserve,Active,83e3
1940,Army, Civilians,137e3
1941,Army, Civilians,329e3
1942,Army, Civilians,852e3
1943,Army, Civilians,1545e3
1944,Army, Civilians,1503e3
1945,Army, Civilians,1881e3
1946,Army, Civilians,927e3
1947,Army, Civilians,503e3
1948,Army, Civilians,303e3
1949,Army, Civilians,31e4
1950,Army, Civilians,261e3
1951,Army, Civilians,487e3
1952,Army, Civilians,515e3
1953,Army, Civilians,884e3
1954,Army, Civilians,72e4
1955,Army, Civilians,651e3
1956,Army, Civilians,592e3
1957,Army, Civilians,571e3
1958,Army, Civilians,53e4
1959,Army, Civilians,497e3
1960,Army, Civilians,473e3
1961,Army, Civilians,472e3
1962,Army, Civilians,476e3
1963,Army, Civilians,459e3
1964,Army, Civilians,43e4
1965,Army, Civilians,414e3
1966,Army, Civilians,45e4
1967,Army, Civilians,516e3
1968,Army, Civilians,51e4
1969,Army, Civilians,531e3
1970,Army, Civilians,48e4
1971,Army, Civilians,452e3
1972,Army, Civilians,446e3
1973,Army, Civilians,406e3
1974,Army, Civilians,409e3
1975,Army, Civilians,401e3
1976,Army, Civilians,39e4
1977,Army, Civilians,372e3
1978,Army, Civilians,371e3
1979,Army, Civilians,359e3
1980,Army, Civilians,361e3
1981,Army, Civilians,372e3
1982,Army, Civilians,378e3
1983,Army, Civilians,391e3
1984,Army, Civilians,403e3
1985,Army, Civilians,42e4
1986,Army, Civilians,413e3
1987,Army, Civilians,418e3
1988,Army, Civilians,393e3
1989,Army, Civilians,403e3
1990,Army, Civilians,38e4
1991,Army, Civilians,365e3
1992,Army, Civilians,334e3
1993,Army, Civilians,294e3
1994,Army, Civilians,28e4
1995,Army, Civilians,267e3
1996,Army, Civilians,259e3
1997,Army, Civilians,247e3
1998,Army, Civilians,237e3
1999,Army, Civilians,227e3
2000,Army, Civilians,221e3
2001,Army, Civilians,22e4
2002,Army, Civilians,224e3
2003,Army, Civilians,224e3
2004,Army, Civilians,227e3
2005,Army, Civilians,231e3
2006,Army, Civilians,237e3
2007,Army, Civilians,238e3
2008,Army, Civilians,246e3
2009,Army, Civilians,263e3
2010,Army, Civilians,276e3
2011,Army, Civilians,284e3
2012,Army, Civilians,275e3
2013,Army, Civilians,256e3
2014,Army, Civilians,207e3
2015,Army, Civilians,206e3
2016,Army, Civilians,195e3
2017,Army, Civilians,191e3
2018,Army, Civilians,195e3
2019,Army, Civilians,195e3
1940,Navy and Marine Corps,Civilians,119e3
1941,Navy and Marine Corps,Civilians,227e3
1942,Navy and Marine Corps,Civilians,432e3
1943,Navy and Marine Corps,Civilians,648e3
1944,Navy and Marine Corps,Civilians,736e3
1945,Navy and Marine Corps,Civilians,747e3
1946,Navy and Marine Corps,Civilians,489e3
1947,Navy and Marine Corps,Civilians,356e3
1948,Navy and Marine Corps,Civilians,347e3
1949,Navy and Marine Corps,Civilians,343e3
1950,Navy and Marine Corps,Civilians,293e3
1951,Navy and Marine Corps,Civilians,452e3
1952,Navy and Marine Corps,Civilians,481e3
1953,Navy and Marine Corps,Civilians,47e4
1954,Navy and Marine Corps,Civilians,433e3
1955,Navy and Marine Corps,Civilians,433e3
1956,Navy and Marine Corps,Civilians,416e3
1957,Navy and Marine Corps,Civilians,411e3
1958,Navy and Marine Corps,Civilians,381e3
1959,Navy and Marine Corps,Civilians,375e3
1960,Navy and Marine Corps,Civilians,365e3
1961,Navy and Marine Corps,Civilians,363e3
1962,Navy and Marine Corps,Civilians,365e3
1963,Navy and Marine Corps,Civilians,36e4
1964,Navy and Marine Corps,Civilians,347e3
1965,Navy and Marine Corps,Civilians,343e3
1966,Navy and Marine Corps,Civilians,367e3
1967,Navy and Marine Corps,Civilians,416e3
1968,Navy and Marine Corps,Civilians,429e3
1969,Navy and Marine Corps,Civilians,438e3
1970,Navy and Marine Corps,Civilians,388e3
1971,Navy and Marine Corps,Civilians,362e3
1972,Navy and Marine Corps,Civilians,353e3
1973,Navy and Marine Corps,Civilians,334e3
1974,Navy and Marine Corps,Civilians,335e3
1975,Navy and Marine Corps,Civilians,326e3
1976,Navy and Marine Corps,Civilians,321e3
1977,Navy and Marine Corps,Civilians,318e3
1978,Navy and Marine Corps,Civilians,317e3
1979,Navy and Marine Corps,Civilians,31e4
1980,Navy and Marine Corps,Civilians,309e3
1981,Navy and Marine Corps,Civilians,321e3
1982,Navy and Marine Corps,Civilians,319e3
1983,Navy and Marine Corps,Civilians,339e3
1984,Navy and Marine Corps,Civilians,342e3
1985,Navy and Marine Corps,Civilians,353e3
1986,Navy and Marine Corps,Civilians,342e3
1987,Navy and Marine Corps,Civilians,353e3
1988,Navy and Marine Corps,Civilians,348e3
1989,Navy and Marine Corps,Civilians,354e3
1990,Navy and Marine Corps,Civilians,341e3
1991,Navy and Marine Corps,Civilians,329e3
1992,Navy and Marine Corps,Civilians,309e3
