Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes
Army,"Trust, Receipts, and Other",1952,Constant,-602e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1952,Current,4939e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1952,Current,6064e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1952,Current,8733e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1952,Current,436e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1952,Current,1025e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1952,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1952,Current,155e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1952,Current,-74e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1953,Constant,91803e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1953,Constant,53231e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1953,Constant,34621e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1953,Constant,5797e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1953,Constant,5534e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1953,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1953,Constant,967e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1953,Constant,-629e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1953,Current,529e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1953,Current,446e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1953,Current,4041e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1953,Current,577e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1953,Current,666e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1953,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1953,Current,12e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1953,Current,-78e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1954,Constant,85072e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1954,Constant,50667e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1954,Constant,25818e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1954,Constant,5554e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1954,Constant,28e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1954,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1954,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1954,Constant,-756e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1954,Current,4892e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1954,Current,4452e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1954,Current,3009e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1954,Current,573e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1954,Current,12e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1954,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1954,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1954,Current,-92e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1955,Constant,77124e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1955,Constant,34681e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1955,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1955,Constant,4114e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1955,Constant,347e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1955,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1955,Constant,1157e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1955,Constant,-949e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1955,Current,449e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1955,Current,2711e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1955,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1955,Current,398e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1955,Current,2e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1955,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1955,Current,15e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1955,Current,-123e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1956,Constant,66094e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1956,Constant,34063e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1956,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1956,Constant,5193e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1956,Constant,416e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1956,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1956,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1956,Constant,-971e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1956,Current,4015e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1956,Current,2834e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1956,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1956,Current,583e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
