source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1953,19873000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1953,586222000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1954,11190000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1954,386000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1954,8678000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1954,6469000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1954,2243000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1954,1464000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1954,30429000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1954,4951000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1954,122050000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1954,65637000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1954,21990000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1954,12479000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1954,443673000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1955,11040000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1955,422000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1955,8407000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1955,8917000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1955,2621000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1955,2338000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1955,44000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1955,33790000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1955,5099000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1955,114647000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1955,83190000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1955,24266000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1955,18922000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1955,359000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1955,453814000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1956,10888000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1956,479000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1956,9195000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1956,11844000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1956,3539000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1956,2095000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1956,25000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1956,38065000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1956,5414000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1956,117759000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1956,108249000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1956,30163000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1956,16634000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1956,200000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1956,473939000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1957,10945000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1957,511000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1957,9614000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1957,12221000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1957,4381000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1957,2048000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1957,3000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1957,39724000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1957,5558000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1957,118283000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1957,108059000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1957,35318000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1957,16002000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1957,35000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1957,481294000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1958,10987000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1958,561000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1958,10112000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1958,13628000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1958,4159000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1958,1634000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1958,42000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1958,41124000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1958,6050000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1958,118310000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1958,121404000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1958,33358000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1958,12843000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1958,309000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1958,480750000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1959,11294000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1959,635000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1959,10214000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1959,13118000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1959,5144000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1959,1748000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1959,42000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1959,42193000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1959,6397000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1959,115466000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1959,116440000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1959,40216000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1959,13616000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1959,301000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1959,474512000000
