Military.Department,FY,Account,Public.Law.Title,Amount,account.categories,Source_Data
Army,2007,Global War on Terror,O.M,64400000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2007,Other Supplemental,O.M,0,other,"FY22 Green Book, tbl 2.1"
Army,2008,Base,O.M,37028000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2008,Global War on Terror,O.M,59381000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2003,Base,Procurement,14578000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Procurement,750000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Base,Procurement,13770000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Procurement,2160000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Procurement,0,other,"FY22 Green Book, tbl 2.1"
Army,2005,Base,Procurement,15337000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Procurement,10101000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Procurement,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Base,Procurement,14526000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Procurement,13560000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Procurement,49000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Procurement,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2007,Base,Procurement,20185000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Procurement,28422000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Procurement,0,other,"FY22 Green Book, tbl 2.1"
Army,2008,Base,Procurement,36557000000,base.discretionary,"FY22 Green Book, tbl 2.1"
