source.table,budget.type,deflator.type,FY,major.force.program,amount
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1983,general.purpose.forces,95836000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1984,general.purpose.forces,98278000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1985,general.purpose.forces,115207000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1986,general.purpose.forces,113108000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1987,general.purpose.forces,115906000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1988,general.purpose.forces,116401000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1989,general.purpose.forces,112320000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1990,general.purpose.forces,112519000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1991,general.purpose.forces,122741000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1992,general.purpose.forces,102085000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1993,general.purpose.forces,94437000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1994,general.purpose.forces,88137000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1995,general.purpose.forces,89472000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1996,general.purpose.forces,88536000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1997,general.purpose.forces,88966000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1998,general.purpose.forces,91399000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1999,general.purpose.forces,97498000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2000,general.purpose.forces,102680000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2001,general.purpose.forces,117703000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2002,general.purpose.forces,125054000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2003,general.purpose.forces,173523000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2004,general.purpose.forces,183138000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2005,general.purpose.forces,197639000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2006,general.purpose.forces,219981000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2007,general.purpose.forces,263320000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2008,general.purpose.forces,299231000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2009,general.purpose.forces,289538000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2010,general.purpose.forces,264034000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2011,general.purpose.forces,291672000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2012,general.purpose.forces,262054000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2013,general.purpose.forces,232579000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2014,general.purpose.forces,228996000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2015,general.purpose.forces,220023000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2016,general.purpose.forces,229658000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2017,general.purpose.forces,241549000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2018,general.purpose.forces,276450000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2019,general.purpose.forces,280863000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2020,general.purpose.forces,292888000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2021,general.purpose.forces,283176000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2022,general.purpose.forces,276702000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2023,general.purpose.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2024,general.purpose.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2025,general.purpose.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2026,general.purpose.forces,0
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1962,general.purpose.forces,179194000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1963,general.purpose.forces,174255000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1964,general.purpose.forces,166794000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1965,general.purpose.forces,172128000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1966,general.purpose.forces,230018000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1967,general.purpose.forces,248858000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1968,general.purpose.forces,241050000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1969,general.purpose.forces,225966000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1970,general.purpose.forces,202178000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1971,general.purpose.forces,171500000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1972,general.purpose.forces,161277000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1973,general.purpose.forces,149799000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1974,general.purpose.forces,149446000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1975,general.purpose.forces,141501000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1976,general.purpose.forces,149374000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1977,general.purpose.forces,162747000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1978,general.purpose.forces,165599000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1979,general.purpose.forces,171025000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1980,general.purpose.forces,171370000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1981,general.purpose.forces,197277000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1982,general.purpose.forces,230610000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1983,general.purpose.forces,243056000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1984,general.purpose.forces,241477000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1985,general.purpose.forces,271204000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1986,general.purpose.forces,260666000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1987,general.purpose.forces,258847000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1988,general.purpose.forces,249948000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1989,general.purpose.forces,234173000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1990,general.purpose.forces,228750000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1991,general.purpose.forces,238464000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1992,general.purpose.forces,198183000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1993,general.purpose.forces,181693000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1994,general.purpose.forces,166216000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1995,general.purpose.forces,164853000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1996,general.purpose.forces,159516000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1997,general.purpose.forces,156890000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1998,general.purpose.forces,156212000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1999,general.purpose.forces,162517000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2000,general.purpose.forces,167090000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2001,general.purpose.forces,185355000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2002,general.purpose.forces,191657000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2003,general.purpose.forces,258014000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2004,general.purpose.forces,265008000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2005,general.purpose.forces,274233000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2006,general.purpose.forces,295301000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2007,general.purpose.forces,343995000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2008,general.purpose.forces,379270000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2009,general.purpose.forces,362766000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2010,general.purpose.forces,323753000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2011,general.purpose.forces,351023000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2012,general.purpose.forces,310238000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2013,general.purpose.forces,271282000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2014,general.purpose.forces,263760000000
