Military.Department,FY,Account,Public.Law.Title,Amount,spending.type,Source_Data
Air Force,2006,Base,Military.Personnel,2.9548e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2006,Global War on Terror,Military.Personnel,1.67e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2006,Hurricane Relief,Military.Personnel,1.8e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Avian Flu Relief,Military.Personnel,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2007,Base,Military.Personnel,3.0163e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2007,Global War on Terror,Military.Personnel,1.626e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2007,Other Supplemental,Military.Personnel,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2008,Base,Military.Personnel,3.0677e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2008,Global War on Terror,Military.Personnel,1.503e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Base,Military.Personnel,3.1847e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2009,Recovery Act,Military.Personnel,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2009,Global War on Terror,Military.Personnel,7.5e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Overseas Contingency Ops,Military.Personnel,1.561e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Base,Military.Personnel,3.3614e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2010,Overseas Contingency Ops,Military.Personnel,1.792e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Haiti Earthquake,Military.Personnel,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2005,Base,O.M,3.3925e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2005,Global War on Terror,O.M,5.627e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2005,Hurricane & Tsunami Relief,O.M,2e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Base,O.M,3.8035e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2006,Global War on Terror,O.M,8.121e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2006,Hurricane Relief,O.M,5.53e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Avian Flu Relief,O.M,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2007,Base,O.M,3.8584e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2007,Global War on Terror,O.M,9.653e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2007,Other Supplemental,O.M,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2008,Base,O.M,4.0957e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2008,Global War on Terror,O.M,1.1268e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Base,O.M,4.4353e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2009,Recovery Act,O.M,1.135e+09,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2009,Global War on Terror,O.M,4.14e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Overseas Contingency Ops,O.M,5.601e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Base,O.M,4.2267e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2010,Overseas Contingency Ops,O.M,1.356e+10,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Haiti Earthquake,O.M,2.18e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2005,Base,Procurement,3.2244e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2005,Global War on Terror,Procurement,2.87e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2005,Hurricane & Tsunami Relief,Procurement,3e+06,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Base,Procurement,3.3603e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2006,Global War on Terror,Procurement,2.235e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2006,Hurricane Relief,Procurement,1.51e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Avian Flu Relief,Procurement,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2007,Base,Procurement,3.149e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2007,Global War on Terror,Procurement,7.945e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2007,Other Supplemental,Procurement,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2008,Base,Procurement,3.5136e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2008,Global War on Terror,Procurement,8.679e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Base,Procurement,3.5938e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2009,Recovery Act,Procurement,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2009,Global War on Terror,Procurement,1.658e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Overseas Contingency Ops,Procurement,6.585e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Base,Procurement,3.583e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2010,Overseas Contingency Ops,Procurement,4.556e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Haiti Earthquake,Procurement,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2005,Base,RDT.E,2.0408e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2005,Global War on Terror,RDT.E,1.43e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2005,Hurricane & Tsunami Relief,RDT.E,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Base,RDT.E,2.1813e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2006,Global War on Terror,RDT.E,3.95e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2006,Hurricane Relief,RDT.E,1.2e+07,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Avian Flu Relief,RDT.E,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2007,Base,RDT.E,2.4342e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
