FY,Service,Active.or.Civilians,personnel
1964,Navy and Marine Corps,Civilians,347000
1964,Air Force,Civilians,322000
1964,Space Force,Civilians,0
1964,Defense Agencies,Civilians,38000
1965,Army,Active,969000
1965,Navy,Active,672000
1965,Marine Corps,Active,190000
1965,Air Force,Active,825000
1965,Space Force,Active,0
1965,Full Time Guard and Reserve,Active,0
1965,Army,Civilians,414000
1965,Navy and Marine Corps,Civilians,343000
1965,Air Force,Civilians,317000
1965,Space Force,Civilians,0
1965,Defense Agencies,Civilians,42000
1966,Army,Active,1200000
1966,Navy,Active,745000
1966,Marine Corps,Active,261000
1966,Air Force,Active,887000
1966,Space Force,Active,0
1966,Full Time Guard and Reserve,Active,0
1966,Army,Civilians,450000
1966,Navy and Marine Corps,Civilians,367000
1966,Air Force,Civilians,336000
1966,Space Force,Civilians,0
1966,Defense Agencies,Civilians,69000
1967,Army,Active,1442000
1967,Navy,Active,751000
1967,Marine Corps,Active,285000
1967,Air Force,Active,897000
1967,Space Force,Active,0
1967,Full Time Guard and Reserve,Active,0
1967,Army,Civilians,516000
1967,Navy and Marine Corps,Civilians,416000
1967,Air Force,Civilians,349000
1967,Space Force,Civilians,0
1967,Defense Agencies,Civilians,76000
1968,Army,Active,1570000
1968,Navy,Active,765000
1968,Marine Corps,Active,307000
1968,Air Force,Active,905000
1968,Space Force,Active,0
1968,Full Time Guard and Reserve,Active,0
1968,Army,Civilians,510000
1968,Navy and Marine Corps,Civilians,429000
1968,Air Force,Civilians,339000
1968,Space Force,Civilians,0
1968,Defense Agencies,Civilians,75000
1969,Army,Active,1512000
1969,Navy,Active,776000
1969,Marine Corps,Active,310000
1969,Air Force,Active,862000
1969,Space Force,Active,0
1969,Full Time Guard and Reserve,Active,0
1969,Army,Civilians,531000
1969,Navy and Marine Corps,Civilians,438000
1969,Air Force,Civilians,349000
1969,Space Force,Civilians,0
1969,Defense Agencies,Civilians,72000
1970,Army,Active,1322000
1970,Navy,Active,692000
1970,Marine Corps,Active,260000
1970,Air Force,Active,791000
1970,Space Force,Active,0
1970,Full Time Guard and Reserve,Active,1000
1970,Army,Civilians,480000
1970,Navy and Marine Corps,Civilians,388000
1970,Air Force,Civilians,328000
1970,Space Force,Civilians,0
1970,Defense Agencies,Civilians,68000
1971,Army,Active,1123000
1971,Navy,Active,623000
1971,Marine Corps,Active,212000
1971,Air Force,Active,755000
1971,Space Force,Active,0
1971,Full Time Guard and Reserve,Active,1000
1971,Army,Civilians,452000
1971,Navy and Marine Corps,Civilians,362000
1971,Air Force,Civilians,313000
1971,Space Force,Civilians,0
1971,Defense Agencies,Civilians,63000
1972,Army,Active,811000
1972,Navy,Active,588000
1972,Marine Corps,Active,198000
1972,Air Force,Active,726000
1972,Space Force,Active,0
1972,Full Time Guard and Reserve,Active,1000
1972,Army,Civilians,446000
1972,Navy and Marine Corps,Civilians,353000
1972,Air Force,Civilians,300000
1972,Space Force,Civilians,0
1972,Defense Agencies,Civilians,60000
1973,Army,Active,801000
1973,Navy,Active,564000
1973,Marine Corps,Active,196000
1973,Air Force,Active,691000
1973,Space Force,Active,0
1973,Full Time Guard and Reserve,Active,1000
1973,Army,Civilians,406000
1973,Navy and Marine Corps,Civilians,334000
1973,Air Force,Civilians,288000
1973,Space Force,Civilians,0
1973,Defense Agencies,Civilians,72000
1974,Army,Active,783000
1974,Navy,Active,546000
1974,Marine Corps,Active,189000
1974,Air Force,Active,644000
1974,Space Force,Active,0
1974,Full Time Guard and Reserve,Active,1000
1974,Army,Civilians,409000
1974,Navy and Marine Corps,Civilians,335000
1974,Air Force,Civilians,289000
1974,Space Force,Civilians,0
1974,Defense Agencies,Civilians,75000
1975,Army,Active,784000
1975,Navy,Active,535000
1975,Marine Corps,Active,196000
1975,Air Force,Active,613000
1975,Space Force,Active,0
1975,Full Time Guard and Reserve,Active,1000
1975,Army,Civilians,401000
1975,Navy and Marine Corps,Civilians,326000
1975,Air Force,Civilians,278000
1975,Space Force,Civilians,0
1975,Defense Agencies,Civilians,73000
1976,Army,Active,779000
1976,Navy,Active,524000
1976,Marine Corps,Active,192000
1976,Air Force,Active,585000
1976,Space Force,Active,0
1976,Full Time Guard and Reserve,Active,1000
1976,Army,Civilians,390000
1976,Navy and Marine Corps,Civilians,321000
1976,Air Force,Civilians,262000
1976,Space Force,Civilians,0
1976,Defense Agencies,Civilians,72000
1977,Army,Active,782000
1977,Navy,Active,530000
1977,Marine Corps,Active,192000
1977,Air Force,Active,570000
1977,Space Force,Active,0
1977,Full Time Guard and Reserve,Active,1000
1977,Army,Civilians,372000
1977,Navy and Marine Corps,Civilians,318000
1977,Air Force,Civilians,255000
1977,Space Force,Civilians,0
1977,Defense Agencies,Civilians,77000
1978,Army,Active,771000
1978,Navy,Active,530000
1978,Marine Corps,Active,191000
1978,Air Force,Active,569000
1978,Space Force,Active,0
1978,Full Time Guard and Reserve,Active,1000
1978,Army,Civilians,371000
1978,Navy and Marine Corps,Civilians,317000
1978,Air Force,Civilians,251000
1978,Space Force,Civilians,0
1978,Defense Agencies,Civilians,77000
1979,Army,Active,758000
1979,Navy,Active,522000
1979,Marine Corps,Active,185000
1979,Air Force,Active,559000
1979,Space Force,Active,0
1979,Full Time Guard and Reserve,Active,7000
1979,Army,Civilians,359000
1979,Navy and Marine Corps,Civilians,310000
1979,Air Force,Civilians,245000
1979,Space Force,Civilians,0
1979,Defense Agencies,Civilians,77000
1980,Army,Active,777000
1980,Navy,Active,527000
1980,Marine Corps,Active,188000
1980,Air Force,Active,558000
1980,Space Force,Active,0
1980,Full Time Guard and Reserve,Active,13000
1980,Army,Civilians,361000
1980,Navy and Marine Corps,Civilians,309000
1980,Air Force,Civilians,244000
1980,Space Force,Civilians,0
1980,Defense Agencies,Civilians,77000
1981,Army,Active,781000
1981,Navy,Active,540000
1981,Marine Corps,Active,191000
1981,Air Force,Active,570000
1981,Space Force,Active,0
1981,Full Time Guard and Reserve,Active,19000
1981,Army,Civilians,372000
1981,Navy and Marine Corps,Civilians,321000
1981,Air Force,Civilians,246000
1981,Space Force,Civilians,0
1981,Defense Agencies,Civilians,80000
1982,Army,Active,780000
1982,Navy,Active,553000
1982,Marine Corps,Active,192000
1982,Air Force,Active,583000
1982,Space Force,Active,0
1982,Full Time Guard and Reserve,Active,22000
1982,Army,Civilians,378000
1982,Navy and Marine Corps,Civilians,319000
1982,Air Force,Civilians,248000
1982,Space Force,Civilians,0
1982,Defense Agencies,Civilians,82000
1983,Army,Active,780000
1983,Navy,Active,558000
1983,Marine Corps,Active,194000
1983,Air Force,Active,592000
1983,Space Force,Active,0
1983,Full Time Guard and Reserve,Active,39000
1983,Army,Civilians,391000
1983,Navy and Marine Corps,Civilians,339000
1983,Air Force,Civilians,251000
1983,Space Force,Civilians,0
1983,Defense Agencies,Civilians,83000
1984,Army,Active,780000
1984,Navy,Active,565000
1984,Marine Corps,Active,196000
1984,Air Force,Active,597000
1984,Space Force,Active,0
1984,Full Time Guard and Reserve,Active,46000
1984,Army,Civilians,403000
1984,Navy and Marine Corps,Civilians,342000
1984,Air Force,Civilians,253000
1984,Space Force,Civilians,0
1984,Defense Agencies,Civilians,87000
1985,Army,Active,781000
1985,Navy,Active,571000
1985,Marine Corps,Active,198000
1985,Air Force,Active,602000
1985,Space Force,Active,0
1985,Full Time Guard and Reserve,Active,55000
1985,Army,Civilians,420000
1985,Navy and Marine Corps,Civilians,353000
1985,Air Force,Civilians,264000
1985,Space Force,Civilians,0
1985,Defense Agencies,Civilians,92000
1986,Army,Active,781000
1986,Navy,Active,581000
1986,Marine Corps,Active,199000
1986,Air Force,Active,608000
1986,Space Force,Active,0
1986,Full Time Guard and Reserve,Active,64000
1986,Army,Civilians,413000
1986,Navy and Marine Corps,Civilians,342000
1986,Air Force,Civilians,263000
1986,Space Force,Civilians,0
1986,Defense Agencies,Civilians,94000
1987,Army,Active,781000
1987,Navy,Active,587000
1987,Marine Corps,Active,200000
1987,Air Force,Active,607000
1987,Space Force,Active,0
1987,Full Time Guard and Reserve,Active,69000
1987,Army,Civilians,418000
1987,Navy and Marine Corps,Civilians,353000
1987,Air Force,Civilians,264000
1987,Space Force,Civilians,0
1987,Defense Agencies,Civilians,98000
1988,Army,Active,772000
1988,Navy,Active,593000
1988,Marine Corps,Active,197000
1988,Air Force,Active,576000
1988,Space Force,Active,0
1988,Full Time Guard and Reserve,Active,71000
1988,Army,Civilians,393000
1988,Navy and Marine Corps,Civilians,348000
1988,Air Force,Civilians,253000
1988,Space Force,Civilians,0
1988,Defense Agencies,Civilians,96000
1989,Army,Active,770000
1989,Navy,Active,593000
1989,Marine Corps,Active,197000
1989,Air Force,Active,571000
1989,Space Force,Active,0
1989,Full Time Guard and Reserve,Active,72000
1989,Army,Civilians,403000
1989,Navy and Marine Corps,Civilians,354000
1989,Air Force,Civilians,261000
1989,Space Force,Civilians,0
1989,Defense Agencies,Civilians,99000
1990,Army,Active,751000
1990,Navy,Active,583000
1990,Marine Corps,Active,197000
1990,Air Force,Active,539000
1990,Space Force,Active,0
1990,Full Time Guard and Reserve,Active,74000
1990,Army,Civilians,380000
1990,Navy and Marine Corps,Civilians,341000
1990,Air Force,Civilians,249000
1990,Space Force,Civilians,0
1990,Defense Agencies,Civilians,103000
1991,Army,Active,725000
1991,Navy,Active,571000
1991,Marine Corps,Active,195000
1991,Air Force,Active,511000
1991,Space Force,Active,0
1991,Full Time Guard and Reserve,Active,75000
1991,Army,Civilians,365000
1991,Navy and Marine Corps,Civilians,329000
1991,Air Force,Civilians,233000
1991,Space Force,Civilians,0
1991,Defense Agencies,Civilians,117000
1992,Army,Active,611000
1992,Navy,Active,542000
1992,Marine Corps,Active,185000
1992,Air Force,Active,470000
1992,Space Force,Active,0
1992,Full Time Guard and Reserve,Active,72000
1992,Army,Civilians,334000
1992,Navy and Marine Corps,Civilians,309000
1992,Air Force,Civilians,214000
1992,Space Force,Civilians,0
1992,Defense Agencies,Civilians,149000
1993,Army,Active,572000
1993,Navy,Active,510000
1993,Marine Corps,Active,178000
1993,Air Force,Active,444000
1993,Space Force,Active,0
1993,Full Time Guard and Reserve,Active,71000
1993,Army,Civilians,294000
1993,Navy and Marine Corps,Civilians,285000
1993,Air Force,Civilians,202000
1993,Space Force,Civilians,0
1993,Defense Agencies,Civilians,156000
1994,Army,Active,541000
1994,Navy,Active,469000
1994,Marine Corps,Active,174000
1994,Air Force,Active,426000
1994,Space Force,Active,0
1994,Full Time Guard and Reserve,Active,68000
1994,Army,Civilians,280000
1994,Navy and Marine Corps,Civilians,269000
1994,Air Force,Civilians,196000
1994,Space Force,Civilians,0
1994,Defense Agencies,Civilians,156000
1995,Army,Active,509000
1995,Navy,Active,435000
1995,Marine Corps,Active,174000
1995,Air Force,Active,400000
1995,Space Force,Active,0
1995,Full Time Guard and Reserve,Active,65000
1995,Army,Civilians,267000
1995,Navy and Marine Corps,Civilians,249000
1995,Air Force,Civilians,186000
1995,Space Force,Civilians,0
