budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.16,current,MILPERS,1960,3922000000
outlays,army,6.16,current,O.M.,1960,3221000000
outlays,army,6.16,current,Procurement,1960,1388000000
outlays,army,6.16,current,RDT.E,1960,1072000000
outlays,army,6.16,current,MILCON,1960,265000000
outlays,army,6.16,current,family.housing,1960,0
outlays,army,6.16,current,revolving.and.management,1960,0
outlays,army,6.16,constant,MILPERS,1960,61885000000
outlays,army,6.16,constant,O.M.,1960,34313000000
outlays,army,6.16,constant,Procurement,1960,10034000000
outlays,army,6.16,constant,RDT.E,1960,8430000000
outlays,army,6.16,constant,MILCON,1960,2092000000
outlays,army,6.16,constant,family.housing,1960,0
outlays,army,6.16,constant,revolving.and.management,1960,0
outlays,army,6.16,current,MILPERS,1961,3979000000
outlays,army,6.16,current,O.M.,1961,3382000000
outlays,army,6.16,current,Procurement,1961,1755000000
outlays,army,6.16,current,RDT.E,1961,1215000000
outlays,army,6.16,current,MILCON,1961,197000000
outlays,army,6.16,current,family.housing,1961,0
outlays,army,6.16,current,revolving.and.management,1961,0
outlays,army,6.16,constant,MILPERS,1961,61929000000
outlays,army,6.16,constant,O.M.,1961,34166000000
outlays,army,6.16,constant,Procurement,1961,12484000000
outlays,army,6.16,constant,RDT.E,1961,9428000000
outlays,army,6.16,constant,MILCON,1961,1546000000
outlays,army,6.16,constant,family.housing,1961,0
outlays,army,6.16,constant,revolving.and.management,1961,0
outlays,army,6.16,current,MILPERS,1962,4458000000
outlays,army,6.16,current,O.M.,1962,3875000000
outlays,army,6.16,current,Procurement,1962,2578000000
outlays,army,6.16,current,RDT.E,1962,1374000000
outlays,army,6.16,current,MILCON,1962,181000000
outlays,army,6.16,current,family.housing,1962,0
outlays,army,6.16,current,revolving.and.management,1962,0
outlays,army,6.16,constant,MILPERS,1962,69903000000
outlays,army,6.16,constant,O.M.,1962,37766000000
outlays,army,6.16,constant,Procurement,1962,18368000000
outlays,army,6.16,constant,RDT.E,1962,10480000000
outlays,army,6.16,constant,MILCON,1962,1416000000
outlays,army,6.16,constant,family.housing,1962,0
outlays,army,6.16,constant,revolving.and.management,1962,0
outlays,army,6.16,current,MILPERS,1963,4343000000
outlays,army,6.16,current,O.M.,1963,3537000000
outlays,army,6.16,current,Procurement,1963,2503000000
outlays,army,6.16,current,RDT.E,1963,1260000000
outlays,army,6.16,current,MILCON,1963,183000000
outlays,army,6.16,current,family.housing,1963,0
outlays,army,6.16,current,revolving.and.management,1963,0
outlays,army,6.16,constant,MILPERS,1963,67092000000
outlays,army,6.16,constant,O.M.,1963,34434000000
outlays,army,6.16,constant,Procurement,1963,17786000000
outlays,army,6.16,constant,RDT.E,1963,9597000000
outlays,army,6.16,constant,MILCON,1963,1420000000
outlays,army,6.16,constant,family.housing,1963,0
outlays,army,6.16,constant,revolving.and.management,1963,0
outlays,army,6.16,current,MILPERS,1964,4616000000
outlays,army,6.16,current,O.M.,1964,3554000000
outlays,army,6.16,current,Procurement,1964,2480000000
outlays,army,6.16,current,RDT.E,1964,1408000000
outlays,army,6.16,current,MILCON,1964,217000000
outlays,army,6.16,current,family.housing,1964,0
outlays,army,6.16,current,revolving.and.management,1964,0
outlays,army,6.16,constant,MILPERS,1964,66523000000
outlays,army,6.16,constant,O.M.,1964,33518000000
outlays,army,6.16,constant,Procurement,1964,17471000000
outlays,army,6.16,constant,RDT.E,1964,10503000000
outlays,army,6.16,constant,MILCON,1964,1642000000
outlays,army,6.16,constant,family.housing,1964,0
outlays,army,6.16,constant,revolving.and.management,1964,0
outlays,army,6.16,current,MILPERS,1965,4750000000
outlays,army,6.16,current,O.M.,1965,3737000000
outlays,army,6.16,current,Procurement,1965,1955000000
outlays,army,6.16,current,RDT.E,1965,1409000000
outlays,army,6.16,current,MILCON,1965,368000000
outlays,army,6.16,current,family.housing,1965,0
outlays,army,6.16,current,revolving.and.management,1965,0
outlays,army,6.16,constant,MILPERS,1965,66123000000
outlays,army,6.16,constant,O.M.,1965,33345000000
outlays,army,6.16,constant,Procurement,1965,13622000000
outlays,army,6.16,constant,RDT.E,1965,10224000000
outlays,army,6.16,constant,MILCON,1965,2568000000
outlays,army,6.16,constant,family.housing,1965,0
outlays,army,6.16,constant,revolving.and.management,1965,0
