budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.22,constant,RDT.E,1957,6187000000
outlays,army,6.22,constant,MILCON,1957,3511000000
outlays,army,6.22,constant,family.housing,1957,0
outlays,army,6.22,constant,revolving.and.management,1957,-2753000000
outlays,army,6.22,constant,trust.receipts.and.other,1957,-823000000
outlays,army,6.22,current,MILPERS,1958,3962000000
outlays,army,6.22,current,O.M.,1958,3174000000
outlays,army,6.22,current,Procurement,1958,1304000000
outlays,army,6.22,current,RDT.E,1958,768000000
outlays,army,6.22,current,MILCON,1958,389000000
outlays,army,6.22,current,family.housing,1958,0
outlays,army,6.22,current,revolving.and.management,1958,-542000000
outlays,army,6.22,current,trust.receipts.and.other,1958,77000000
outlays,army,6.22,constant,MILPERS,1958,66265000000
outlays,army,6.22,constant,O.M.,1958,36337000000
outlays,army,6.22,constant,Procurement,1958,9644000000
outlays,army,6.22,constant,RDT.E,1958,6554000000
outlays,army,6.22,constant,MILCON,1958,2997000000
outlays,army,6.22,constant,family.housing,1958,0
outlays,army,6.22,constant,revolving.and.management,1958,-3870000000
outlays,army,6.22,constant,trust.receipts.and.other,1958,550000000
outlays,army,6.22,current,MILPERS,1959,3809000000
outlays,army,6.22,current,O.M.,1959,3320000000
outlays,army,6.22,current,Procurement,1959,1281000000
outlays,army,6.22,current,RDT.E,1959,911000000
outlays,army,6.22,current,MILCON,1959,436000000
outlays,army,6.22,current,family.housing,1959,0
outlays,army,6.22,current,revolving.and.management,1959,-264000000
outlays,army,6.22,current,trust.receipts.and.other,1959,41000000
outlays,army,6.22,constant,MILPERS,1959,61633000000
outlays,army,6.22,constant,O.M.,1959,36135000000
outlays,army,6.22,constant,Procurement,1959,9229000000
outlays,army,6.22,constant,RDT.E,1959,7426000000
outlays,army,6.22,constant,MILCON,1959,3260000000
outlays,army,6.22,constant,family.housing,1959,0
outlays,army,6.22,constant,revolving.and.management,1959,-1841000000
outlays,army,6.22,constant,trust.receipts.and.other,1959,286000000
outlays,army,6.22,current,MILPERS,1960,3866000000
outlays,army,6.22,current,O.M.,1960,3246000000
outlays,army,6.22,current,Procurement,1960,1267000000
outlays,army,6.22,current,RDT.E,1960,1046000000
outlays,army,6.22,current,MILCON,1960,283000000
outlays,army,6.22,current,family.housing,1960,0
outlays,army,6.22,current,revolving.and.management,1960,-315000000
outlays,army,6.22,current,trust.receipts.and.other,1960,59000000
outlays,army,6.22,constant,MILPERS,1960,61491000000
outlays,army,6.22,constant,O.M.,1960,34443000000
outlays,army,6.22,constant,Procurement,1960,9186000000
outlays,army,6.22,constant,RDT.E,1960,8175000000
outlays,army,6.22,constant,MILCON,1960,2157000000
outlays,army,6.22,constant,family.housing,1960,0
outlays,army,6.22,constant,revolving.and.management,1960,-2212000000
outlays,army,6.22,constant,trust.receipts.and.other,1960,415000000
outlays,army,6.22,current,MILPERS,1961,4037000000
outlays,army,6.22,current,O.M.,1961,3417000000
outlays,army,6.22,current,Procurement,1961,1397000000
outlays,army,6.22,current,RDT.E,1961,1207000000
outlays,army,6.22,current,MILCON,1961,276000000
outlays,army,6.22,current,family.housing,1961,0
outlays,army,6.22,current,revolving.and.management,1961,-202000000
outlays,army,6.22,current,trust.receipts.and.other,1961,14000000
outlays,army,6.22,constant,MILPERS,1961,62288000000
outlays,army,6.22,constant,O.M.,1961,34223000000
outlays,army,6.22,constant,Procurement,1961,10018000000
outlays,army,6.22,constant,RDT.E,1961,9148000000
outlays,army,6.22,constant,MILCON,1961,2036000000
outlays,army,6.22,constant,family.housing,1961,0
outlays,army,6.22,constant,revolving.and.management,1961,-1389000000
outlays,army,6.22,constant,trust.receipts.and.other,1961,96000000
outlays,army,6.22,current,MILPERS,1962,4415000000
outlays,army,6.22,current,O.M.,1962,3705000000
outlays,army,6.22,current,Procurement,1962,1784000000
outlays,army,6.22,current,RDT.E,1962,1280000000
outlays,army,6.22,current,MILCON,1962,175000000
outlays,army,6.22,current,family.housing,1962,0
outlays,army,6.22,current,revolving.and.management,1962,-132000000
outlays,army,6.22,current,trust.receipts.and.other,1962,21000000
outlays,army,6.22,constant,MILPERS,1962,69577000000
outlays,army,6.22,constant,O.M.,1962,36423000000
outlays,army,6.22,constant,Procurement,1962,12831000000
outlays,army,6.22,constant,RDT.E,1962,9689000000
outlays,army,6.22,constant,MILCON,1962,1351000000
outlays,army,6.22,constant,family.housing,1962,0
outlays,army,6.22,constant,revolving.and.management,1962,-923000000
outlays,army,6.22,constant,trust.receipts.and.other,1962,146000000
outlays,army,6.22,current,MILPERS,1963,4303000000
outlays,army,6.22,current,O.M.,1963,3757000000
outlays,army,6.22,current,Procurement,1963,2371000000
outlays,army,6.22,current,RDT.E,1963,1354000000
outlays,army,6.22,current,MILCON,1963,178000000
outlays,army,6.22,current,family.housing,1963,0
outlays,army,6.22,current,revolving.and.management,1963,-465000000
outlays,army,6.22,current,trust.receipts.and.other,1963,-23000000
outlays,army,6.22,constant,MILPERS,1963,66791000000
outlays,army,6.22,constant,O.M.,1963,35904000000
outlays,army,6.22,constant,Procurement,1963,16866000000
outlays,army,6.22,constant,RDT.E,1963,10169000000
outlays,army,6.22,constant,MILCON,1963,1389000000
outlays,army,6.22,constant,family.housing,1963,0
outlays,army,6.22,constant,revolving.and.management,1963,-3231000000
outlays,army,6.22,constant,trust.receipts.and.other,1963,-160000000
outlays,army,6.22,current,MILPERS,1964,4602000000
outlays,army,6.22,current,O.M.,1964,3638000000
outlays,army,6.22,current,Procurement,1964,2315000000
outlays,army,6.22,current,RDT.E,1964,1338000000
outlays,army,6.22,current,MILCON,1964,233000000
outlays,army,6.22,current,family.housing,1964,0
outlays,army,6.22,current,revolving.and.management,1964,-75000000
outlays,army,6.22,current,trust.receipts.and.other,1964,-39000000
outlays,army,6.22,constant,MILPERS,1964,66420000000
outlays,army,6.22,constant,O.M.,1964,34087000000
outlays,army,6.22,constant,Procurement,1964,16323000000
outlays,army,6.22,constant,RDT.E,1964,10022000000
outlays,army,6.22,constant,MILCON,1964,1784000000
outlays,army,6.22,constant,family.housing,1964,0
outlays,army,6.22,constant,revolving.and.management,1964,-521000000
outlays,army,6.22,constant,trust.receipts.and.other,1964,-270000000
outlays,army,6.22,current,MILPERS,1965,4697000000
outlays,army,6.22,current,O.M.,1965,3681000000
outlays,army,6.22,current,Procurement,1965,1764000000
outlays,army,6.22,current,RDT.E,1965,1344000000
outlays,army,6.22,current,MILCON,1965,216000000
outlays,army,6.22,current,family.housing,1965,0
outlays,army,6.22,current,revolving.and.management,1965,-102000000
