source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1954,1464000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1954,210946000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1954,4912000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1954,120968000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1954,65034000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1954,21725000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1954,12373000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1954,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1955,11040000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1955,422000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1955,8407000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1955,8917000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1955,2621000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1955,2338000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1955,44000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1955,201937000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1955,5058000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1955,113722000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1955,82496000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1955,23981000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1955,18770000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1955,356000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1955,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1956,10888000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1956,479000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1956,9195000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1956,11844000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1956,3539000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1956,2095000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1956,25000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1956,190464000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1956,5371000000
