source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1955,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1956,11058000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1956,495000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1956,9009000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1956,8016000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1956,3340000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1956,1269000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1956,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1956,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1956,-396000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1956,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1956,191769000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1956,5551000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1956,115531000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1956,77414000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1956,28340000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1956,10282000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1956,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1956,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1956,-3077000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1956,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1957,11038000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1957,515000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1957,9526000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1957,9405000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1957,4220000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1957,1475000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1957,75000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1957,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1957,-339000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1957,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1957,193579000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1957,5559000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1957,116968000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1957,85994000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1957,33800000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1957,11402000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1957,552000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1957,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1957,-2447000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1957,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1958,10415000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1958,567000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1958,10108000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1958,9477000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1958,3964000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1958,2086000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1958,55000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1958,75000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1958,224000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1958,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1958,179553000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1958,6067000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1958,117642000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1958,87601000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1958,31619000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1958,16037000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1958,399000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1958,535000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1958,1599000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1958,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1959,10823000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1959,640000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1959,10276000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1959,12709000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1959,5278000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1959,1384000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1959,57000000
